1.11227	-0.345324
-0.267121	-0.647707
-0.117406	0.701949
0.56053	-1.57312
0.726328	1.19774
-0.0450196	-1.22718
0.881899	0.28933
0.0885779	-1.46085
1.59221	-2.04143
1.15382	-0.369332
-1.14607	-0.779908
1.35156	0.817053
-nan	-nan
-nan	-nan
-nan	-nan
0.699798	0.677823
-0.346182	-0.646539
0.679158	0.410625
-0.619505	-0.0699357
-nan	-nan
-1.46877	-0.132623
-nan	-nan
-0.816706	-0.238836
-1.29384	1.02548
0.254315	-0.303026
-nan	-nan
-0.223905	1.48726
1.8318	-0.547792
-0.963918	0.226844
2.49572	0.948944
1.18544	-1.72223
-0.335046	0.665461
-0.0908622	-1.28125
2.3766	0.557651
1.69231	1.36887
-0.510496	0.632138
-nan	-nan
-nan	-nan
-0.102639	-1.54244
0.848346	-0.543042
-0.325517	0.862255
-0.526729	1.06499
0.0912353	-0.265814
-0.723942	0.830583
0.404099	1.07824
-0.707537	-1.02894
-1.24231	0.462575
-0.722322	0.323166
0.914348	0.710915
-1.28877	-0.424988
-1.82321	-0.652681
-1.34893	-0.572918
0.114548	-1.20412
0.0344833	-0.302159
-1.48889	-1.46463
-0.885555	1.0804
-1.2818	0.800786
0.101309	0.812524
0.586722	0.977265
1.12784	-1.07198
-nan	-nan
0.116007	1.21044
1.27219	1.5326
0.463667	-2.48654
-0.865309	1.37391
1.02767	0.605283
-nan	-nan
-0.42264	0.17985
-1.18604	0.451652
1.75724	0.595081
-nan	-nan
-0.88109	-1.07864
0.397605	0.915024
-1.04304	-0.518988
0.350256	0.793294
1.08208	-1.31829
0.127035	-0.103517
-1.22832	0.0123992
0.955383	0.510148
-nan	-nan
-0.799682	1.56228
1.07894	0.138616
0.105292	0.190564
-nan	-nan
0.0869018	0.73217
-0.317178	2.98108
-nan	-nan
1.24336	0.374021
-nan	-nan
0.462748	-0.186286
0.995733	0.237173
0.684553	1.28852
0.632054	0.676778
-1.48398	0.652977
-0.111702	-1.26383
0.31469	0.388808
0.827008	0.364516
-1.38129	1.7674
1.13565	1.70644
0.128214	-1.16938
0.0775968	-0.458617
1.89772	0.171444
1.27403	0.0576441
-1.00946	-0.0265557
0.0146206	-0.637859
1.1889	-0.436229
2.09735	-0.72947
-1.08296	-0.264405
-1.47485	-0.543569
-nan	-nan
0.304736	1.29361
2.14407	-1.38104
-0.00850685	0.186067
-nan	-nan
1.70378	1.17743
-0.685729	-0.692686
0.204364	0.664531
1.68899	-0.263691
-0.201264	1.14848
-nan	-nan
0.334366	0.223712
-2.02605	0.447286
-1.50985	-0.120679
0.639876	-0.0481257
-nan	-nan
-1.32909	-0.176357
0.734795	0.698671
0.413275	-0.247501
-nan	-nan
-1.68097	-0.97588
2.00573	1.79664
0.470151	-1.18906
-0.349571	-2.21893
0.238787	0.64635
-1.30504	0.4806
-nan	-nan
-0.505716	-1.20384
1.73944	1.10041
1.67537	0.914205
-0.674247	0.0930377
0.382256	-1.54647
-nan	-nan
-nan	-nan
0.519472	1.38636
-nan	-nan
-1.26833	-0.201803
-0.0602771	1.44924
0.0964532	0.323119
-0.800224	-0.480861
0.86638	-0.303688
0.423061	0.262287
-0.187666	-1.76085
-nan	-nan
0.964759	0.32502
0.196311	0.381136
-0.847418	-0.583972
-0.503992	-0.449765
0.437977	-1.12428
-0.453128	-0.330682
-nan	-nan
-nan	-nan
-0.540863	2.10584
-nan	-nan
0.176554	-0.663767
-2.48714	-0.0835423
-0.536647	-1.75023
-0.181852	0.293024
0.283127	-1.3235
-0.49013	-0.0717961
0.721034	0.582018
-nan	-nan
-0.538643	0.0273169
-1.09235	0.590977
1.21057	-1.04452
0.802274	0.302312
-0.144424	-0.409838
0.610105	0.693897
1.16002	1.062
0.617359	-0.285718
1.03078	-0.824968
0.510495	-0.513079
0.121693	-0.596452
-nan	-nan
-0.393553	-0.559646
0.127179	-0.630695
-nan	-nan
-nan	-nan
-0.2134	-1.6757
0.31273	-1.19024
2.54021	-0.710102
-nan	-nan
0.81323	2.52194
0.741053	-0.887607
-1.36177	0.771376
0.0276176	-0.349676
0.560958	-0.198185
-1.44777	0.111324
-0.835187	-1.62653
1.3673	1.10304
-0.410744	-1.67439
1.23783	-1.01804
-0.754738	0.685292
-1.12506	0.853833
-nan	-nan
1.07154	0.306379
-1.22988	1.15712
0.0921726	1.19552
-0.858164	-0.837491
-0.794052	0.02676
0.880561	0.25167
0.127165	1.31674
-nan	-nan
-1.3875	-1.24538
-nan	-nan
-0.198658	-0.00511606
-1.02864	1.03434
1.33465	0.0308896
-0.0628997	-0.815498
-1.38344	-0.0732049
-nan	-nan
-0.269446	-0.16542
1.52124	0.800664
-nan	-nan
0.123801	-0.112493
-0.15125	1.61786
-nan	-nan
0.526535	1.58379
0.156911	0.272051
-0.152974	0.109024
-nan	-nan
-0.79805	-0.924175
-nan	-nan
0.94837	-0.856336
-nan	-nan
0.217614	-0.336453
-nan	-nan
-1.0605	1.28806
-1.50254	-2.2667
1.148	-1.31188
0.270071	-0.994432
-0.709758	-0.206795
-0.880592	0.387796
-nan	-nan
0.391143	-1.37167
2.04301	0.350582
-0.152192	0.359459
0.319077	-0.449593
-0.562178	0.018185
-0.4627	-1.32531
-0.169356	-1.21549
-1.7954	-0.620224
-nan	-nan
-1.06369	-0.108285
-nan	-nan
1.0418	0.672874
-nan	-nan
-nan	-nan
0.110085	-1.31276
-nan	-nan
-1.67574	1.43917
0.964282	1.39574
0.982439	-2.32776
1.2458	0.300136
-nan	-nan
1.24488	-0.541427
-0.235973	-0.804161
1.21987	-0.44633
0.0258481	0.0453853
0.281562	0.267205
1.39432	0.879147
0.30173	2.33063
0.0827782	2.71688
-nan	-nan
1.44232	0.561873
-nan	-nan
-0.651636	0.59444
0.703421	0.480779
-1.02559	0.541099
-0.315745	-0.665937
-nan	-nan
-0.154334	-1.75283
-0.905295	-0.639948
0.153762	0.435996
-1.53104	0.03807
-nan	-nan
-0.760158	-0.436277
0.83744	1.98381
0.474942	-0.339788
1.46714	1.09076
0.438415	0.412631
-nan	-nan
1.34388	1.74783
0.723813	0.753089
-0.205487	-0.403187
-nan	-nan
-1.09327	-0.477527
-0.975532	-2.07738
0.278006	-0.752509
-0.383665	0.813256
0.233441	-0.858752
0.752911	0.614856
-1.26616	-1.66616
-0.6988	-1.50522
0.156303	-0.677268
0.893387	-0.150847
0.762104	0.349534
-2.47817	-1.7862
-0.73294	-0.973111
-1.52427	0.460538
-0.382646	-0.719601
1.65876	-0.131963
-0.0639535	-1.39142
-nan	-nan
-0.582248	-0.887954
-nan	-nan
-0.60875	0.889334
1.07106	1.33465
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
0.434734	2.02122
-0.13319	1.28081
0.595515	0.321656
-0.393411	-1.27288
0.258824	-0.264417
1.17792	-1.19488
-2.1099	0.448953
-0.645317	2.11836
1.77864	-0.327169
0.0151185	-0.181599
-0.612071	-0.815959
1.83269	-0.529824
-1.21654	0.706403
-1.18266	-0.634508
0.527355	-2.70402
-0.145855	-0.419011
-nan	-nan
-nan	-nan
0.179337	-1.81962
-1.09563	-0.482122
-0.195621	1.13437
0.670011	1.04724
-0.320036	-1.01234
-0.168781	-0.911426
0.0883222	0.41141
-nan	-nan
-0.455647	0.404726
-1.60878	-0.898338
-2.40146	1.75284
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-0.512046	-0.0899492
-0.614558	-0.544487
1.28966	0.568837
-0.784856	-0.070892
-2.32626	-1.02391
0.345973	1.14002
0.293057	-1.37798
1.04273	0.593399
-nan	-nan
-0.505072	-2.34865
-0.195128	0.593036
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
0.00343338	-0.193259
-0.875842	-0.597874
0.740925	-1.38353
-nan	-nan
1.3117	-0.884005
0.674623	-0.389603
0.577756	1.91997
0.444097	0.12037
1.95506	-0.952331
-nan	-nan
-0.204814	0.639393
-0.466416	-0.273968
0.915955	-0.635771
-0.808625	0.59159
-nan	-nan
0.332745	0.654267
-nan	-nan
-1.08831	0.468579
-nan	-nan
0.382965	0.806613
-1.72792	0.36794
-0.318918	0.303956
-0.258134	-0.360696
-0.146619	1.1179
2.22308	-1.88154
-nan	-nan
-0.120008	0.482982
-0.461945	-0.442726
-1.2961	-0.716846
0.704472	0.215834
-1.54225	1.34041
0.336945	-2.34826
0.0183959	1.94541
-nan	-nan
0.931518	1.51024
0.0491189	0.965259
-1.13521	0.769671
1.75625	-0.279205
0.504134	-0.565548
-1.23882	-1.17619
0.481668	-1.11067
-nan	-nan
-1.06466	-0.242231
-1.28553	-0.512539
0.332946	-0.443808
-nan	-nan
1.66641	0.207675
0.153743	-1.63815
-1.51266	0.229313
-nan	-nan
-1.46578	-0.458886
1.70267	-0.164602
-0.89206	-0.080028
-nan	-nan
0.801768	-1.33675
-0.899046	-0.699659
-2.20965	-1.78784
-1.68023	0.736506
1.06579	0.0420973
0.165205	0.0538383
-nan	-nan
1.26021	-0.465485
0.177021	-2.02358
0.761657	1.33862
1.11355	0.103076
0.184506	-0.876409
0.334785	-0.130863
0.0916291	-0.547073
1.48384	0.0915641
0.763832	-0.130945
0.359269	-0.456643
0.764523	-0.99591
-nan	-nan
1.33024	-0.112366
0.114318	1.46322
-nan	-nan
-nan	-nan
0.482053	-1.76674
-0.610943	-0.742805
-nan	-nan
1.46153	0.745277
-1.06117	0.65597
-nan	-nan
0.943057	0.965645
-1.36021	1.0211
-nan	-nan
0.365818	0.462197
-1.53558	-1.0254
-nan	-nan
1.04211	-0.323081
-nan	-nan
0.484779	1.76523
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
2.17805	-0.311928
1.62969	0.666531
-1.64128	-0.459965
-1.78256	0.700937
-0.82805	-0.0627829
0.386431	0.863686
-nan	-nan
-0.615129	-0.740153
-nan	-nan
0.126237	-0.652798
-nan	-nan
-nan	-nan
-0.759533	0.839412
-1.12187	0.202744
1.31091	-0.385501
2.17042	-1.12964
0.6832	-0.328124
-nan	-nan
1.26339	-0.768761
0.541845	0.769547
1.20061	-0.400793
0.441811	-0.813963
-0.161925	0.591706
-2.13327	0.101763
-nan	-nan
0.182952	-1.01408
-0.525905	-0.198069
-0.729872	-0.33107
-0.472729	-0.29215
-nan	-nan
2.07921	-0.152782
-1.99991	0.810921
1.25855	-0.457547
1.7637	0.386349
1.64353	-0.363115
-2.05781	0.957881
-nan	-nan
0.715784	-0.982134
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
0.852509	-1.39583
-0.770665	1.32868
0.247261	-1.62914
0.579894	-1.15994
-nan	-nan
1.56653	0.218963
-2.43406	-0.429783
-nan	-nan
0.773689	-0.0734558
0.748167	1.04884
0.614496	-2.39788
0.274732	0.0186637
-0.479045	1.71609
1.56259	-1.79409
-nan	-nan
-0.747445	2.01545
-nan	-nan
-1.97428	1.19964
-nan	-nan
0.64293	0.684251
-0.535461	0.0457312
-1.84558	-0.761195
-0.31956	-0.0575179
0.0874597	0.621331
0.562893	-0.369774
1.5591	-0.717337
0.961801	1.32529
-nan	-nan
-2.70222	0.464871
-0.102159	-2.89776
-nan	-nan
-0.497645	-0.250135
1.65341	-0.172071
0.366434	0.309581
0.141148	2.28089
2.25468	1.04384
-nan	-nan
-nan	-nan
-2.05349	0.483415
-0.4668	-0.376425
0.337505	0.417325
2.09082	-1.05814
2.22536	1.49607
0.013604	0.208389
-nan	-nan
-0.692335	-1.83418
0.466069	0.0187629
0.756636	1.48567
0.223024	-0.0118312
3.41052	0.186797
-nan	-nan
-nan	-nan
-nan	-nan
-0.450792	-2.40726
0.973615	2.05793
1.14903	-1.65458
-0.0770522	-1.50259
-nan	-nan
1.13345	-0.750387
-nan	-nan
-2.2032	-0.303382
-0.872285	-0.416934
-nan	-nan
-nan	-nan
-1.45644	0.424513
-0.0815391	-2.1272
1.84421	0.365768
0.663388	1.36432
0.141634	-0.922164
-nan	-nan
0.856582	0.934197
-0.149386	-1.46908
-nan	-nan
-0.944042	0.910137
0.820569	-1.68768
0.0692656	0.650005
1.00169	0.649603
-0.670093	0.876958
-0.597876	-1.92954
1.07381	0.664687
0.489935	-0.266142
-0.164578	0.0371021
1.10355	0.479215
-1.51693	-1.31539
1.70724	0.0377996
0.00187677	-3.30239
-nan	-nan
0.669363	-1.06622
-nan	-nan
-nan	-nan
-1.70169	-0.0813037
-nan	-nan
-nan	-nan
1.04439	0.380201
-1.39156	1.47032
-0.983646	-1.07857
0.6045	-0.26876
0.535349	0.312356
-nan	-nan
-0.65007	0.329044
1.39562	0.587513
-nan	-nan
0.267438	1.14893
-0.557318	0.643214
0.468165	-0.539156
0.135737	-0.435656
1.77843	-0.981006
-nan	-nan
-0.0569076	0.677551
-0.142189	1.22612
0.422525	1.49662
-1.05748	-0.0455405
-nan	-nan
-nan	-nan
-1.16341	-0.897497
-nan	-nan
-nan	-nan
-0.581952	0.0144287
0.909585	-0.866265
-2.00632	0.377911
-0.0654496	0.472673
0.163398	-0.840044
-1.01808	1.53568
-nan	-nan
1.5402	-1.42395
0.606546	-1.00162
-0.404258	0.353689
0.732413	-1.09483
-nan	-nan
-0.242026	-0.427489
-nan	-nan
-nan	-nan
-nan	-nan
1.33856	1.25297
-0.042884	0.287208
-0.240128	0.272415
-nan	-nan
0.342241	-0.125199
-0.164038	1.00602
-nan	-nan
-0.41852	0.652196
-1.54515	-0.523757
0.184752	0.478968
2.19805	-0.154323
-nan	-nan
0.0964005	-0.549279
0.490663	0.233171
-0.46209	0.482062
-nan	-nan
-0.253829	-1.82036
1.02347	0.463395
-0.499378	0.405744
-0.202681	-0.891164
-nan	-nan
-nan	-nan
0.368835	-0.223651
-0.29891	-0.293565
0.509365	0.979806
-0.661707	-0.301852
-0.200066	0.470318
-0.23978	0.358118
-nan	-nan
0.332859	-1.15893
0.413734	-0.0386649
-0.297059	-0.032314
0.470469	0.67118
-nan	-nan
2.31314	0.133992
-nan	-nan
-nan	-nan
-nan	-nan
-0.637597	-0.711895
-0.154665	0.872741
-0.493859	0.0313067
-1.18448	-0.652378
-1.9821	-2.16386
-1.55115	-0.386743
0.359814	1.10078
1.73554	1.49503
-1.5111	0.855877
-nan	-nan
-0.113009	-1.09462
-nan	-nan
0.201948	0.616465
-nan	-nan
-nan	-nan
-0.43662	-0.645237
-0.582853	0.266359
-nan	-nan
-0.878154	-0.709891
-0.361659	1.98332
1.01039	0.93436
-0.783001	-0.325286
0.415705	1.75226
-nan	-nan
-0.0858814	0.236756
0.28457	0.217749
-nan	-nan
0.538641	0.327732
0.93015	0.872226
1.28318	0.847877
-nan	-nan
0.946303	0.648589
0.45937	0.893166
-nan	-nan
-0.648625	-0.353625
0.243834	1.15326
-nan	-nan
-1.32048	0.226314
-0.229951	-0.922603
-0.636441	1.50832
-0.398299	-0.201714
0.116659	-1.28136
-0.881253	-0.183635
-nan	-nan
-0.972818	0.375027
-0.0266315	1.62507
0.887271	-1.4468
-0.370001	-1.88479
-0.714481	-0.423723
-0.782909	-0.639044
0.406679	1.45037
-0.889621	0.176403
-0.332799	-1.79373
-nan	-nan
-2.36033	0.786553
2.43832	-0.619857
0.197292	-0.229321
0.227117	0.653994
1.87573	2.09411
1.06449	0.774421
-0.769251	-0.598131
-0.212866	1.31906
0.106145	0.863399
-0.729878	0.363
-1.01721	-0.599889
-nan	-nan
-nan	-nan
-2.01787	0.736672
-2.06783	-0.183907
-0.570762	1.5964
-nan	-nan
-0.434269	0.49513
-0.11313	0.112089
1.06292	0.801803
-2.49116	0.465426
-1.74902	1.35766
0.485219	0.584744
-0.921498	-1.69575
1.67792	0.18412
-nan	-nan
-nan	-nan
0.124473	0.258473
-nan	-nan
-0.0580088	-2.09834
0.101314	0.850138
-0.694956	0.107945
0.255646	-0.1379
-0.166965	-0.742478
-nan	-nan
1.55741	0.10677
0.463916	-0.889474
-0.970993	-0.108755
0.304052	0.00904332
0.863534	0.708261
-nan	-nan
0.325858	0.736517
1.37999	-0.618605
0.651288	0.514994
-0.565573	-1.93043
-nan	-nan
-0.471485	-0.616938
0.246246	-1.23294
-0.0676881	0.430254
-1.61303	0.275951
-nan	-nan
-nan	-nan
-0.387326	-0.391908
-0.506457	-0.737723
0.131985	-0.320244
0.533433	0.305656
1.14423	0.218238
1.57129	1.46822
0.612561	-0.0745517
-1.67667	-1.27271
1.54146	-0.208617
-nan	-nan
0.102637	0.391547
-nan	-nan
0.696445	-0.11695
0.144644	-0.689015
-0.710858	2.00163
0.908874	0.28724
0.290309	-0.316278
1.50951	0.0415245
-1.0334	0.610103
-nan	-nan
-0.449716	0.613102
0.562817	-1.09286
-nan	-nan
0.145174	-0.661998
-0.00505379	0.221483
-nan	-nan
-nan	-nan
-nan	-nan
0.818894	1.13062
-nan	-nan
-0.325694	1.1247
0.731742	-0.820244
0.284128	0.0166744
0.601317	-0.806934
-nan	-nan
-1.55851	-0.296987
-nan	-nan
0.296207	-0.796687
0.18898	-0.116433
-1.20118	-0.333874
-0.808029	-0.769288
0.0888319	-1.38979
0.0080912	2.03444
-nan	-nan
-0.093955	-0.578381
-0.530967	0.901101
-nan	-nan
-nan	-nan
0.401385	1.39462
-nan	-nan
1.06076	-0.832347
-1.52465	0.375031
-0.198556	0.253012
0.351099	-0.77065
-nan	-nan
0.447791	-2.18614
-nan	-nan
1.18544	2.17401
1.36181	0.829255
0.430592	-0.542627
0.244231	-0.551682
0.335704	0.0508559
-nan	-nan
-0.404243	1.75141
1.35134	0.0671947
0.214246	2.83936
0.746036	0.566435
-nan	-nan
0.497282	1.1966
-0.589985	0.408751
1.19256	1.33148
-0.485115	0.303137
1.2611	0.939393
-1.94967	-0.698692
-0.346076	-0.662588
0.0466456	0.237681
-1.33282	0.330975
0.650532	-1.93441
-nan	-nan
-0.594524	-0.101215
1.08037	2.71591
-nan	-nan
-0.361096	-0.679636
-0.210992	0.641486
0.819858	-0.00140124
1.8217	0.760937
-0.557135	0.473941
-0.349194	0.730229
-0.707122	1.98089
-0.836168	1.16282
0.0306843	0.04767
-nan	-nan
-0.0395424	-1.82573
-0.307551	-0.611815
-1.32353	-0.939405
0.114815	1.36922
0.915413	0.0341674
-0.453989	-0.388194
2.27801	0.220836
-1.0469	0.159808
-nan	-nan
-0.215421	-0.18668
2.14485	-1.36099
-nan	-nan
-0.840004	-0.238178
0.334379	0.459059
-1.95314	-0.018731
0.456308	0.40571
0.373312	-0.477378
-nan	-nan
-0.370239	-2.78813
0.938276	-0.256325
-nan	-nan
1.80815	1.48041
0.35371	1.72638
-1.09886	0.177435
0.194312	-1.73264
0.31395	-0.515055
0.642874	0.899279
-0.300421	0.263297
-nan	-nan
1.96861	-0.0590334
-2.43956	0.796922
-0.597582	-0.914237
0.610293	-1.06487
-0.499152	-0.70211
0.357962	-0.963388
1.48324	2.07104
-0.31668	-0.333127
-0.776553	0.50278
0.680279	-0.358301
-1.57973	-0.656617
0.0404938	-0.294513
0.147215	-1.8068
1.06162	0.527299
-nan	-nan
0.329627	1.41632
-0.00338654	0.450818
-0.642778	1.03028
-nan	-nan
-nan	-nan
-1.01071	0.372857
0.54236	1.74901
-0.830923	0.67921
0.9629	-0.342756
-0.292201	1.64806
0.866959	1.19702
-0.587772	-0.445149
1.17339	0.797435
0.727655	2.73551
-1.56146	1.03345
0.160282	0.936554
-0.146652	-0.652093
0.675232	0.40101
-nan	-nan
0.453106	0.774751
-0.138674	1.14762
-0.0151717	-0.411668
0.584648	1.81303
1.51131	-0.440357
-nan	-nan
-0.752653	0.529574
0.336874	-0.133999
-nan	-nan
0.26532	-0.00721345
-1.13803	-0.882777
-nan	-nan
-1.47969	0.0173635
-nan	-nan
-0.790524	0.719932
-nan	-nan
1.96012	1.28557
-nan	-nan
1.02791	-1.74923
1.18252	-0.637576
0.454026	0.575713
0.098747	0.679468
2.69129	0.477434
-1.66766	0.316428
-0.795761	-0.687705
-0.509465	-0.0240729
0.20196	-1.06344
-0.700141	1.03319
0.554854	-1.19231
-nan	-nan
-nan	-nan
1.41789	0.318486
1.34192	2.32121
0.365445	-0.879951
0.807383	-0.129281
-0.198966	1.96064
-nan	-nan
0.366745	1.00817
0.144994	0.968059
-0.520452	1.38129
-1.09817	-0.215013
-0.995497	0.836977
1.93243	1.80982
-0.0418756	-1.42901
1.22913	-0.691403
-0.191117	0.0970707
-0.454016	0.889951
-0.415251	0.715424
-0.11909	0.647102
-nan	-nan
-2.29995	-0.415304
-0.106447	0.0337773
0.309771	2.14406
0.00628226	-0.837332
0.0972749	0.923082
0.852884	0.444771
-0.295465	-0.696027
-0.234021	0.871792
0.32616	0.784305
-0.861502	-0.15841
-0.450004	-0.591684
-1.15034	0.194569
-nan	-nan
-1.68316	-1.78443
-1.85807	-1.22478
0.814332	0.806963
0.26939	0.190143
-1.80441	-1.51221
-0.140837	0.865002
6.06719e-05	0.444202
1.11112	-0.534142
0.392502	-0.889416
-0.0689543	-0.653527
-nan	-nan
-nan	-nan
0.153935	-1.29518
-1.1256	0.961502
0.971562	-0.907749
-nan	-nan
1.91487	0.0421656
2.27647	-1.28583
-1.68906	-0.164802
-1.18013	0.72398
0.709059	0.303943
1.30584	-1.96087
1.50341	-1.26535
1.06732	-0.839077
0.077412	-1.42925
-2.07644	0.719298
-1.04796	-1.1393
0.435488	0.873755
-0.0351237	0.600789
0.199417	-1.44087
-1.16514	0.733314
-0.176836	0.579177
-nan	-nan
-1.9327	-1.28599
-1.14379	1.87437
-0.60172	-0.267048
-1.28102	1.00715
0.108325	0.224306
-0.536475	-0.0439432
-1.59666	0.334377
1.62171	1.06656
-nan	-nan
0.224151	0.15353
1.11464	-0.411567
1.3832	-0.77101
0.0772634	0.419721
-nan	-nan
-nan	-nan
0.59643	-0.302108
1.07428	-1.43632
0.347524	0.182733
0.621598	-1.23803
-1.23177	-1.54833
-1.19427	-0.288485
1.26202	-0.339962
0.473275	-0.0221885
-nan	-nan
-0.0819559	0.774617
0.749296	-0.460082
-1.69893	0.738516
0.303072	0.77006
0.529865	1.85226
1.19824	-0.136939
0.456618	0.28155
1.60541	0.186591
-0.438997	0.18603
-1.03027	0.853844
0.735516	0.247051
-nan	-nan
-nan	-nan
-0.0106385	-0.484761
-2.18304	0.173275
-nan	-nan
-0.0789758	0.589043
-0.360609	0.214655
0.261325	1.66326
0.24764	-0.737624
-2.71743	-0.728196
0.602518	-1.93666
-1.05317	-0.724971
0.74419	-0.432068
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
0.802579	-0.060904
0.763083	-0.514874
-nan	-nan
-0.765801	-0.147211
-nan	-nan
-1.19902	-0.250561
-nan	-nan
0.302608	-2.12471
-0.197648	-0.385929
2.05765	0.105528
-2.31533	0.657961
1.23493	-0.481588
0.570399	1.15951
-1.54979	-0.757987
0.692549	-0.468575
-0.685791	0.62597
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-1.04415	-1.02368
-0.640501	-0.941826
-nan	-nan
0.795816	-2.18066
0.281553	-0.201782
0.598639	-0.338364
1.0999	0.824463
1.63426	-1.04589
-0.0248123	0.640227
1.08686	-0.635259
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-0.674831	0.86019
1.04345	0.173212
-nan	-nan
0.558553	-0.675416
-nan	-nan
0.155896	0.996804
1.2363	-2.65121
-0.764486	-0.514064
-0.186435	0.16728
1.55589	1.06833
1.49563	-0.215906
-nan	-nan
-0.0650005	-0.616809
0.690149	-0.0267214
-1.25754	0.429796
-1.04905	-3.08804
-1.2391	-1.64455
-0.483562	-0.0180335
0.155554	1.45195
2.08705	0.252068
-0.273647	-0.188236
-1.32424	1.69233
1.86214	0.732595
-nan	-nan
-1.97931	1.28735
-0.301437	-1.23446
-0.259191	-0.0728254
-1.28785	-0.0794768
-0.207946	-0.949422
0.43388	0.104389
1.75067	-0.39089
-nan	-nan
-nan	-nan
1.05461	-1.7035
0.463291	-0.277871
-nan	-nan
-0.110127	-1.7413
0.375671	-1.05843
1.26435	0.0774988
-nan	-nan
-0.754913	-0.216912
-0.229939	-0.938204
1.5441	0.475332
0.327119	-1.15449
1.8357	0.554019
1.40111	-0.461461
-nan	-nan
0.0954914	1.32039
-nan	-nan
-0.187647	0.201813
